OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT
2274,LDC,Low-Density Commercial,,, , , ,1.99922737,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{D454FA72-A526-45BB-AF28-3B18A8FD100B},0
2275,MDR,Medium-Density Residential,,,0-16, , ,21.02562673,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{657FE2E5-FC74-4BD4-93C8-0C4D97865405},336.5
2277,LDC,Low-Density Commercial,,, , , ,4.44711772,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{83C50579-2C9A-46E0-9BF8-7A211A41A843},0
2278,LDC,Low-Density Commercial,,, , , ,6.55312911,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{8264E045-6427-4FFF-A5EE-69E0294C1EC7},0
2279,MDR,Medium-Density Residential,,, , , ,11.85223522,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{0C485EB0-9ED6-41B8-8BC9-834F76E7A9AD},0
2280,MU,Mixed-Use,,,0-16, ,MDR,5.62904291,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{2698DD5D-AABE-4A92-87CE-CD5AE98A5925},153.3
2281,MDR,Medium-Density Residential,,,0-16, , ,13.31208891,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{F36625D1-1921-45B8-B710-ADD73A814D39},213
2282,LDC,Low-Density Commercial,,, , , ,8.07630163,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{D9CDA8EE-1DAA-42CA-B881-24C47F6FCF6C},0
2283,LDC,Low-Density Commercial,,, , , ,0.42780554,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{B7024A42-E546-4778-B135-407609AFF108},0
2284,LDC,Low-Density Commercial,,, , , ,0.26227875,GIS,2018-03-20T00:34:05.000Z,GIS,2018-04-17T16:33:15.000Z,{0F453D62-1AC5-4684-8183-546CA41D2E93},0
